City,State,Zipcode,Gender,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Year
Birmingham city, Alabama,07000,Male,619.0,5594.0,6434.0,10770.0,8463.0,2821.0,6278.0,352.0,354.0,1699.0,783.0,672.0,2013
Dothan city, Alabama,21184,Male,218.0,1546.0,2805.0,3857.0,1960.0,304.0,2241.0,202.0,303.0,735.0,559.0,157.0,2013
Hoover city, Alabama,35896,Male,0.0,2195.0,1883.0,3611.0,3279.0,2422.0,3790.0,943.0,470.0,820.0,669.0,65.0,2013
Huntsville city, Alabama,37000,Male,1123.0,4870.0,6805.0,10147.0,8854.0,3488.0,4738.0,619.0,712.0,788.0,393.0,536.0,2013
Mobile city, Alabama,50000,Male,259.0,4038.0,6686.0,7708.0,6690.0,2111.0,4188.0,231.0,899.0,1948.0,863.0,748.0,2013
Montgomery city, Alabama,51000,Male,1196.0,4182.0,7019.0,12494.0,9567.0,1964.0,3950.0,381.0,185.0,878.0,501.0,264.0,2013
Tuscaloosa city, Alabama,77256,Male,163.0,2333.0,3199.0,4983.0,2967.0,1321.0,1128.0,82.0,154.0,1313.0,833.0,298.0,2013
Anchorage municipality, Alaska,03000,Male,1722.0,9649.0,18963.0,18858.0,13992.0,3907.0,7225.0,1546.0,1150.0,1840.0,976.0,2636.0,2013
Avondale city, Arizona,04720,Male,193.0,1180.0,1426.0,1933.0,2899.0,1287.0,3209.0,855.0,466.0,1924.0,2100.0,272.0,2013
Casas Adobes CDP, Arizona,10670,Male,170.0,360.0,1904.0,2253.0,2921.0,1765.0,3409.0,1058.0,552.0,623.0,82.0,153.0,2013
Chandler city, Arizona,12000,Male,1389.0,4756.0,7462.0,10497.0,12348.0,6195.0,7798.0,2502.0,2830.0,3903.0,2185.0,539.0,2013
Flagstaff city, Arizona,23620,Male,1529.0,3658.0,5298.0,2573.0,826.0,504.0,916.0,330.0,343.0,954.0,294.0,698.0,2013
Gilbert town, Arizona,27400,Male,752.0,3678.0,5098.0,8752.0,8943.0,5294.0,9872.0,2521.0,1926.0,6597.0,2788.0,803.0,2013
Glendale city, Arizona,27820,Male,1465.0,3351.0,4280.0,5208.0,10016.0,3372.0,8630.0,2004.0,2750.0,3361.0,3819.0,1111.0,2013
Goodyear city, Arizona,28380,Male,28.0,831.0,1469.0,2415.0,1479.0,857.0,3045.0,493.0,838.0,1543.0,617.0,126.0,2013
Mesa city, Arizona,46000,Male,1271.0,6635.0,10115.0,14909.0,18604.0,9611.0,21699.0,3475.0,3941.0,5561.0,5291.0,2140.0,2013
Peoria city, Arizona,54050,Male,487.0,1808.0,3572.0,4502.0,4820.0,2355.0,5694.0,1230.0,1787.0,4252.0,2500.0,569.0,2013
Phoenix city, Arizona,55000,Male,5674.0,25326.0,44982.0,53423.0,56588.0,24336.0,69513.0,10435.0,14107.0,29277.0,12795.0,5303.0,2013
San Tan Valley CDP, Arizona,64210,Male,0.0,647.0,410.0,926.0,1120.0,394.0,2854.0,1715.0,1435.0,5290.0,3814.0,465.0,2013
Scottsdale city, Arizona,65000,Male,1599.0,6596.0,7218.0,8798.0,7392.0,5144.0,8638.0,1374.0,1419.0,2430.0,1024.0,738.0,2013
Surprise city, Arizona,71510,Male,517.0,1482.0,2187.0,1322.0,2006.0,910.0,3304.0,916.0,2627.0,3787.0,1945.0,622.0,2013
Tempe city, Arizona,73000,Male,1081.0,4733.0,9522.0,7996.0,9727.0,4878.0,5176.0,1216.0,1253.0,1845.0,1082.0,580.0,2013
Tucson city, Arizona,77000,Male,2312.0,9423.0,19559.0,21969.0,21722.0,8279.0,16024.0,2016.0,3112.0,6509.0,2906.0,2603.0,2013
Yuma city, Arizona,85540,Male,1417.0,3550.0,5488.0,4338.0,2530.0,1050.0,3158.0,261.0,122.0,299.0,437.0,164.0,2013
Fayetteville city, Arkansas,23290,Male,507.0,4269.0,5039.0,3145.0,2045.0,1240.0,1184.0,397.0,744.0,677.0,76.0,313.0,2013
Fort Smith city, Arkansas,24550,Male,1371.0,2966.0,4729.0,5349.0,3441.0,219.0,532.0,0.0,179.0,722.0,138.0,176.0,2013
Jonesboro city, Arkansas,35710,Male,309.0,2403.0,4704.0,3609.0,1594.0,424.0,1000.0,167.0,54.0,191.0,676.0,0.0,2013
Little Rock city, Arkansas,41000,Male,1170.0,4712.0,10540.0,7410.0,13546.0,1845.0,3950.0,381.0,316.0,1415.0,957.0,953.0,2013
North Little Rock city, Arkansas,50450,Male,856.0,866.0,1487.0,2920.0,3810.0,427.0,1586.0,328.0,0.0,203.0,32.0,84.0,2013
Springdale city, Arkansas,66080,Male,1451.0,1772.0,4405.0,5746.0,2474.0,325.0,1573.0,213.0,346.0,1509.0,172.0,144.0,2013
Alameda city, California,00562,Male,96.0,991.0,1913.0,2275.0,2627.0,1516.0,2692.0,468.0,933.0,2717.0,1680.0,771.0,2013
Alhambra city, California,00884,Male,220.0,446.0,2617.0,2179.0,3260.0,541.0,4828.0,861.0,712.0,2937.0,2034.0,213.0,2013
Anaheim city, California,02000,Male,264.0,3519.0,11035.0,13901.0,15287.0,4665.0,15443.0,2299.0,2951.0,5866.0,7004.0,3864.0,2013
Antioch city, California,02252,Male,186.0,737.0,1598.0,1415.0,2517.0,552.0,2672.0,879.0,1295.0,3282.0,3309.0,3091.0,2013
Apple Valley town, California,02364,Male,40.0,1257.0,1167.0,1759.0,1427.0,982.0,1045.0,377.0,0.0,587.0,2413.0,1091.0,2013
Arden-Arcade CDP, California,02553,Male,475.0,2295.0,1470.0,3138.0,4300.0,1242.0,1345.0,430.0,566.0,1178.0,685.0,911.0,2013
Bakersfield city, California,03526,Male,1066.0,7805.0,13749.0,15741.0,13194.0,3461.0,7154.0,1170.0,2235.0,3824.0,5833.0,2157.0,2013
Baldwin Park city, California,03666,Male,32.0,317.0,1656.0,2666.0,2919.0,753.0,3605.0,822.0,818.0,2056.0,1583.0,578.0,2013
Bellflower city, California,04982,Male,151.0,1550.0,1319.0,2161.0,2611.0,447.0,3546.0,676.0,1312.0,1881.0,2019.0,485.0,2013
Berkeley city, California,06000,Male,410.0,2034.0,3573.0,3142.0,3067.0,1236.0,4899.0,910.0,1001.0,1971.0,2315.0,1006.0,2013
Buena Park city, California,08786,Male,168.0,1261.0,1322.0,2979.0,2889.0,797.0,4713.0,481.0,1206.0,2376.0,1670.0,655.0,2013
Burbank city, California,08954,Male,845.0,2169.0,2992.0,4520.0,3700.0,1755.0,4943.0,308.0,841.0,2216.0,1354.0,423.0,2013
Camarillo city, California,10046,Male,439.0,1962.0,3164.0,3995.0,2040.0,833.0,1217.0,86.0,519.0,507.0,1226.0,490.0,2013
Carlsbad city, California,11194,Male,717.0,1112.0,4333.0,4546.0,2564.0,1567.0,4392.0,1063.0,1428.0,2207.0,1075.0,1334.0,2013
Carmichael CDP, California,11390,Male,461.0,469.0,1630.0,2578.0,1988.0,1339.0,1994.0,261.0,347.0,369.0,530.0,625.0,2013
Carson city, California,11530,Male,279.0,1819.0,3048.0,2821.0,4164.0,644.0,4095.0,382.0,951.0,1195.0,463.0,660.0,2013
Chico city, California,13014,Male,825.0,4211.0,7307.0,3136.0,664.0,704.0,1070.0,478.0,379.0,299.0,382.0,384.0,2013
Chino city, California,13210,Male,387.0,1319.0,1634.0,1894.0,1737.0,876.0,2273.0,854.0,1362.0,2103.0,1960.0,1182.0,2013
Chino Hills city, California,13214,Male,411.0,696.0,614.0,1290.0,1457.0,1909.0,3679.0,689.0,1701.0,3133.0,2107.0,1151.0,2013
Chula Vista city, California,13392,Male,375.0,2838.0,4648.0,7178.0,9170.0,6645.0,10409.0,1619.0,2624.0,5852.0,3164.0,1241.0,2013
Citrus Heights city, California,13588,Male,416.0,1429.0,2585.0,2449.0,3554.0,2473.0,3421.0,310.0,917.0,959.0,540.0,379.0,2013
Clovis city, California,14218,Male,248.0,2106.0,3748.0,3717.0,5811.0,2375.0,1818.0,746.0,322.0,722.0,454.0,408.0,2013
Compton city, California,15044,Male,428.0,689.0,1585.0,2596.0,2291.0,1442.0,4519.0,418.0,733.0,860.0,1281.0,655.0,2013
Concord city, California,16000,Male,381.0,1600.0,3532.0,3806.0,4180.0,1227.0,3393.0,1034.0,923.0,3877.0,4187.0,1052.0,2013
Corona city, California,16350,Male,339.0,2162.0,4432.0,3611.0,2739.0,2287.0,5014.0,1472.0,1843.0,5424.0,7154.0,2607.0,2013
Costa Mesa city, California,16532,Male,1182.0,4533.0,4508.0,7666.0,5129.0,1436.0,5138.0,734.0,368.0,1734.0,1332.0,594.0,2013
Daly City city, California,17918,Male,98.0,1198.0,2420.0,3365.0,5454.0,1787.0,6046.0,970.0,841.0,3675.0,2745.0,1987.0,2013
Davis city, California,18100,Male,287.0,2210.0,4089.0,2967.0,1747.0,849.0,1583.0,305.0,689.0,235.0,234.0,442.0,2013
Downey city, California,19766,Male,504.0,898.0,3537.0,3405.0,5043.0,1768.0,3475.0,932.0,2141.0,3780.0,1749.0,642.0,2013
East Los Angeles CDP, California,20802,Male,185.0,717.0,2235.0,2714.0,5585.0,2272.0,6453.0,307.0,2630.0,4536.0,2601.0,1571.0,2013
El Cajon city, California,21712,Male,511.0,2166.0,2868.0,2863.0,4109.0,2621.0,4052.0,410.0,385.0,1138.0,545.0,520.0,2013
Elk Grove city, California,22020,Male,852.0,1168.0,3035.0,3687.0,3311.0,3305.0,6236.0,1451.0,1840.0,4543.0,874.0,1424.0,2013
El Monte city, California,22230,Male,0.0,998.0,1171.0,2490.0,3976.0,862.0,6436.0,331.0,576.0,4296.0,4614.0,898.0,2013
Escondido city, California,22804,Male,477.0,2009.0,4985.0,5477.0,4262.0,2102.0,5405.0,1857.0,2385.0,2718.0,1845.0,635.0,2013
Fairfield city, California,23182,Male,229.0,2235.0,3734.0,2963.0,2896.0,1511.0,2584.0,586.0,549.0,1944.0,2838.0,2159.0,2013
Folsom city, California,24638,Male,133.0,1046.0,4241.0,2939.0,1957.0,1330.0,996.0,580.0,982.0,794.0,971.0,569.0,2013
Fontana city, California,24680,Male,288.0,3597.0,4729.0,6950.0,7118.0,3277.0,6344.0,943.0,1617.0,3633.0,5730.0,2791.0,2013
Fremont city, California,26000,Male,467.0,1738.0,3645.0,5079.0,5234.0,2397.0,8693.0,1785.0,3253.0,7036.0,4371.0,914.0,2013
Fresno city, California,27000,Male,1454.0,7940.0,14528.0,30857.0,17237.0,3611.0,9627.0,786.0,1097.0,3730.0,3028.0,2583.0,2013
Fullerton city, California,28000,Male,825.0,1721.0,3625.0,4982.0,4510.0,1159.0,6161.0,1085.0,1760.0,3109.0,3136.0,857.0,2013
Garden Grove city, California,29000,Male,287.0,1509.0,5364.0,7367.0,8200.0,3540.0,8616.0,1161.0,1941.0,3053.0,2593.0,1028.0,2013
Glendale city, California,30000,Male,624.0,2564.0,4897.0,6856.0,4441.0,2437.0,6920.0,1910.0,3100.0,3722.0,4672.0,548.0,2013
Hawthorne city, California,32548,Male,199.0,2135.0,2601.0,2549.0,3554.0,1634.0,3986.0,386.0,1275.0,1512.0,609.0,689.0,2013
Hayward city, California,33000,Male,97.0,1917.0,4424.0,3841.0,5726.0,3547.0,7255.0,1157.0,2719.0,4045.0,2775.0,711.0,2013
Hemet city, California,33182,Male,413.0,1092.0,1393.0,1901.0,1480.0,203.0,1840.0,55.0,677.0,1602.0,1206.0,2177.0,2013
Hesperia city, California,33434,Male,296.0,1166.0,2180.0,1771.0,722.0,428.0,1195.0,300.0,608.0,2578.0,3123.0,1572.0,2013
Huntington Beach city, California,36000,Male,806.0,4489.0,5300.0,5644.0,6471.0,3462.0,8433.0,1269.0,2764.0,6041.0,4624.0,1792.0,2013
Indio city, California,36448,Male,51.0,1213.0,2211.0,3158.0,5432.0,599.0,2563.0,0.0,40.0,612.0,441.0,1047.0,2013
Inglewood city, California,36546,Male,231.0,1079.0,2811.0,2736.0,3941.0,1660.0,3990.0,551.0,1230.0,1646.0,1053.0,856.0,2013
Irvine city, California,36770,Male,389.0,3123.0,9889.0,11486.0,10062.0,3875.0,8317.0,974.0,1008.0,2828.0,5292.0,2182.0,2013
Jurupa Valley city, California,37692,Male,87.0,528.0,2775.0,3461.0,2959.0,893.0,3987.0,501.0,650.0,1603.0,3029.0,1192.0,2013
Lake Forest city, California,39496,Male,242.0,957.0,4299.0,2867.0,3286.0,1923.0,3394.0,806.0,955.0,1446.0,1476.0,205.0,2013
Lakewood city, California,39892,Male,200.0,1523.0,1560.0,2026.0,2771.0,1367.0,3027.0,863.0,663.0,1699.0,1419.0,187.0,2013
Lancaster city, California,40130,Male,376.0,2772.0,5071.0,5917.0,1863.0,607.0,2012.0,170.0,797.0,2026.0,5622.0,2720.0,2013
Livermore city, California,41992,Male,462.0,1590.0,3163.0,2413.0,1867.0,854.0,2238.0,330.0,1142.0,3013.0,2463.0,1229.0,2013
Long Beach city, California,43000,Male,1121.0,5327.0,11709.0,18434.0,15327.0,5575.0,17043.0,2710.0,6667.0,10499.0,11695.0,4127.0,2013
Los Angeles city, California,44000,Male,11558.0,50490.0,93917.0,123631.0,148585.0,48172.0,186524.0,29796.0,47750.0,90808.0,80297.0,31679.0,2013
Lynwood city, California,44574,Male,236.0,540.0,809.0,2088.0,2275.0,580.0,3337.0,359.0,495.0,1581.0,1062.0,182.0,2013
Manteca city, California,45484,Male,95.0,924.0,2229.0,1673.0,1977.0,1033.0,722.0,106.0,166.0,1126.0,3098.0,2580.0,2013
Menifee city, California,46842,Male,324.0,457.0,723.0,1876.0,2028.0,671.0,1359.0,242.0,1437.0,2347.0,3372.0,1985.0,2013
Merced city, California,46898,Male,617.0,1382.0,2019.0,2897.0,1489.0,300.0,1532.0,323.0,33.0,332.0,970.0,777.0,2013
Milpitas city, California,47766,Male,60.0,1228.0,1487.0,3390.0,3016.0,1237.0,3246.0,579.0,373.0,740.0,970.0,107.0,2013
Mission Viejo city, California,48256,Male,238.0,887.0,2035.0,3195.0,4014.0,1633.0,4912.0,1487.0,1756.0,1393.0,1723.0,551.0,2013
Modesto city, California,48354,Male,902.0,4685.0,7750.0,7331.0,6322.0,1736.0,4031.0,1045.0,636.0,2126.0,2038.0,3661.0,2013
Moreno Valley city, California,49270,Male,285.0,1133.0,4524.0,4121.0,3663.0,2113.0,8432.0,2137.0,3112.0,2265.0,6641.0,3616.0,2013
Mountain View city, California,49670,Male,156.0,1625.0,3407.0,6625.0,4513.0,1739.0,3166.0,795.0,373.0,815.0,767.0,618.0,2013
Murrieta city, California,50076,Male,470.0,1906.0,2787.0,2720.0,1763.0,760.0,720.0,942.0,646.0,2843.0,4831.0,1975.0,2013
Napa city, California,50258,Male,202.0,2689.0,6240.0,2410.0,2462.0,837.0,2042.0,326.0,537.0,1099.0,1773.0,423.0,2013
Newport Beach city, California,51182,Male,464.0,1941.0,3097.0,3682.0,4031.0,957.0,3303.0,428.0,370.0,1061.0,270.0,1068.0,2013
Norwalk city, California,52526,Male,43.0,1595.0,2428.0,3787.0,3208.0,924.0,5901.0,1159.0,845.0,2308.0,1595.0,702.0,2013
Oakland city, California,53000,Male,2485.0,3215.0,10647.0,15565.0,13942.0,4144.0,17465.0,3213.0,4206.0,9972.0,8583.0,2539.0,2013
Oceanside city, California,53322,Male,318.0,930.0,4622.0,7847.0,5839.0,2749.0,4076.0,904.0,1620.0,4396.0,3222.0,1338.0,2013
Ontario city, California,53896,Male,304.0,2748.0,4230.0,6206.0,5236.0,1872.0,5807.0,765.0,1467.0,3505.0,2778.0,1689.0,2013
Orange city, California,53980,Male,405.0,2836.0,4333.0,6283.0,5450.0,2156.0,6292.0,973.0,1970.0,2567.0,2617.0,797.0,2013
Oxnard city, California,54652,Male,684.0,2355.0,8136.0,8789.0,12727.0,2376.0,9377.0,940.0,1205.0,2353.0,1559.0,2270.0,2013
Palmdale city, California,55156,Male,122.0,1355.0,3038.0,3759.0,2953.0,312.0,1438.0,283.0,576.0,3817.0,9402.0,4776.0,2013
Palo Alto city, California,55282,Male,540.0,1125.0,2879.0,3261.0,2789.0,1182.0,1342.0,339.0,316.0,744.0,1032.0,188.0,2013
Pasadena city, California,56000,Male,554.0,3538.0,4290.0,5761.0,3650.0,2739.0,4129.0,1024.0,1268.0,3381.0,3327.0,1273.0,2013
Perris city, California,56700,Male,35.0,499.0,2238.0,1027.0,455.0,720.0,2239.0,601.0,901.0,2009.0,2688.0,1249.0,2013
Pittsburg city, California,57456,Male,113.0,310.0,1145.0,1548.0,2120.0,445.0,2656.0,0.0,841.0,1747.0,3394.0,1315.0,2013
Pleasanton city, California,57792,Male,145.0,1443.0,1878.0,1341.0,1027.0,909.0,1929.0,601.0,1431.0,3637.0,2630.0,254.0,2013
Pomona city, California,58072,Male,850.0,2228.0,6765.0,4562.0,2938.0,1688.0,3999.0,1831.0,1407.0,2883.0,5450.0,479.0,2013
Rancho Cordova city, California,59444,Male,505.0,1437.0,1629.0,2228.0,1874.0,1066.0,2451.0,304.0,130.0,540.0,165.0,640.0,2013
Rancho Cucamonga city, California,59451,Male,857.0,2518.0,3301.0,7040.0,4285.0,3407.0,6427.0,580.0,1363.0,3923.0,4261.0,2072.0,2013
Redding city, California,59920,Male,395.0,2350.0,6622.0,3543.0,1092.0,207.0,683.0,71.0,0.0,461.0,438.0,724.0,2013
Redlands city, California,59962,Male,214.0,2615.0,1738.0,3195.0,1442.0,557.0,1273.0,47.0,79.0,1078.0,1174.0,304.0,2013
Redondo Beach city, California,60018,Male,145.0,1616.0,2120.0,2427.0,2037.0,949.0,2455.0,748.0,763.0,1561.0,1500.0,1044.0,2013
Redwood City city, California,60102,Male,233.0,2341.0,3512.0,4218.0,2912.0,945.0,2640.0,918.0,1614.0,1570.0,1206.0,203.0,2013
Rialto city, California,60466,Male,162.0,590.0,1331.0,2334.0,3830.0,1085.0,3589.0,774.0,988.0,1646.0,2394.0,2307.0,2013
Richmond city, California,60620,Male,193.0,1326.0,1802.0,3332.0,3305.0,1152.0,3423.0,1391.0,1767.0,2476.0,3269.0,1295.0,2013
Riverside city, California,62000,Male,372.0,5013.0,9148.0,8634.0,11033.0,4041.0,10076.0,2002.0,3075.0,5061.0,6574.0,3971.0,2013
Roseville city, California,62938,Male,878.0,3413.0,4934.0,3019.0,3565.0,1506.0,3605.0,1030.0,1009.0,3715.0,1625.0,1139.0,2013
Sacramento city, California,64000,Male,2733.0,8648.0,13355.0,17817.0,17005.0,6092.0,13392.0,1919.0,3639.0,5824.0,3038.0,4010.0,2013
Salinas city, California,64224,Male,411.0,1915.0,4012.0,7188.0,6675.0,2128.0,5697.0,730.0,1565.0,1895.0,1781.0,812.0,2013
San Bernardino city, California,65000,Male,468.0,2617.0,5311.0,5852.0,5887.0,2234.0,4186.0,1898.0,656.0,2580.0,3597.0,2306.0,2013
San Buenaventura (Ventura) city, California,65042,Male,440.0,1725.0,4776.0,3881.0,3761.0,1374.0,1939.0,612.0,1260.0,2111.0,1475.0,695.0,2013
San Clemente city, California,65084,Male,200.0,2137.0,2084.0,1807.0,1652.0,167.0,2160.0,631.0,551.0,2047.0,1784.0,96.0,2013
San Diego city, California,66000,Male,4286.0,21680.0,45543.0,65826.0,73159.0,28741.0,51244.0,8702.0,8861.0,14834.0,9058.0,7449.0,2013
San Francisco city, California,67000,Male,2408.0,7991.0,18715.0,27126.0,36958.0,15847.0,48017.0,6404.0,13812.0,28242.0,25099.0,6457.0,2013
San Jose city, California,68000,Male,1658.0,9949.0,23430.0,39506.0,49672.0,18535.0,51790.0,6106.0,11073.0,21633.0,17186.0,5037.0,2013
San Leandro city, California,68084,Male,233.0,1384.0,2794.0,2763.0,2462.0,1086.0,4037.0,848.0,1266.0,2175.0,2395.0,878.0,2013
San Marcos city, California,68196,Male,450.0,386.0,3847.0,4760.0,3137.0,775.0,2864.0,319.0,518.0,3121.0,813.0,366.0,2013
San Mateo city, California,68252,Male,288.0,2105.0,3460.0,3106.0,5674.0,1628.0,5928.0,533.0,979.0,2471.0,1756.0,338.0,2013
San Ramon city, California,68378,Male,361.0,645.0,1830.0,1982.0,1188.0,1647.0,2015.0,1107.0,1752.0,3114.0,3435.0,1192.0,2013
Santa Ana city, California,69000,Male,612.0,4144.0,11754.0,15674.0,16620.0,4902.0,18380.0,1359.0,3679.0,4979.0,2251.0,2634.0,2013
Santa Barbara city, California,69070,Male,721.0,4026.0,6633.0,5393.0,2553.0,502.0,1640.0,322.0,442.0,227.0,999.0,488.0,2013
Santa Clara city, California,69084,Male,206.0,2683.0,5455.0,5919.0,9092.0,2782.0,3258.0,364.0,1135.0,1234.0,1486.0,476.0,2013
Santa Clarita city, California,69088,Male,312.0,2711.0,4876.0,4609.0,4817.0,1311.0,4613.0,2354.0,2224.0,5156.0,6293.0,2237.0,2013
Santa Maria city, California,69196,Male,173.0,2691.0,2542.0,6138.0,4995.0,1686.0,4615.0,395.0,315.0,732.0,509.0,614.0,2013
Santa Monica city, California,70000,Male,119.0,1520.0,3136.0,3333.0,3827.0,2037.0,4086.0,1080.0,1131.0,2512.0,525.0,281.0,2013
Santa Rosa city, California,70098,Male,709.0,4891.0,8853.0,10413.0,5973.0,1540.0,3455.0,786.0,389.0,1405.0,2156.0,1039.0,2013
Simi Valley city, California,72016,Male,889.0,3375.0,3169.0,3140.0,3286.0,2165.0,4339.0,1089.0,1583.0,4184.0,3151.0,1479.0,2013
South Gate city, California,73080,Male,43.0,339.0,1552.0,3060.0,4137.0,1921.0,3853.0,536.0,1153.0,2358.0,2807.0,737.0,2013
South San Francisco city, California,73262,Male,559.0,1311.0,2434.0,3147.0,2328.0,437.0,3305.0,244.0,307.0,1527.0,1146.0,24.0,2013
South Whittier CDP, California,73430,Male,106.0,789.0,2411.0,1209.0,1531.0,984.0,2253.0,563.0,953.0,2197.0,1770.0,102.0,2013
Stockton city, California,75000,Male,590.0,3527.0,6233.0,10632.0,8069.0,2051.0,7436.0,1423.0,1123.0,3072.0,6437.0,4623.0,2013
Sunnyvale city, California,77000,Male,313.0,1906.0,4895.0,7105.0,10069.0,4281.0,4452.0,1433.0,1164.0,2191.0,1859.0,180.0,2013
Temecula city, California,78120,Male,447.0,1722.0,2260.0,2892.0,1971.0,927.0,1530.0,431.0,471.0,3728.0,4670.0,1668.0,2013
Thousand Oaks city, California,78582,Male,694.0,3300.0,5892.0,4058.0,3177.0,882.0,2839.0,605.0,895.0,3615.0,2962.0,1382.0,2013
Torrance city, California,80000,Male,351.0,2511.0,4797.0,4458.0,5192.0,2319.0,6258.0,815.0,1498.0,4317.0,3289.0,294.0,2013
Tracy city, California,80238,Male,708.0,1560.0,2423.0,762.0,1210.0,798.0,2192.0,574.0,504.0,2797.0,4640.0,3381.0,2013
Turlock city, California,80812,Male,393.0,1968.0,2805.0,1716.0,2283.0,961.0,1184.0,338.0,660.0,759.0,219.0,867.0,2013
Tustin city, California,80854,Male,424.0,853.0,2029.0,3790.0,3428.0,974.0,4573.0,458.0,313.0,721.0,647.0,677.0,2013
Union City city, California,81204,Male,124.0,450.0,1023.0,1769.0,1564.0,498.0,2274.0,681.0,1132.0,2610.0,1196.0,116.0,2013
Upland city, California,81344,Male,80.0,1151.0,1216.0,2363.0,1920.0,1071.0,2359.0,720.0,508.0,1273.0,2598.0,970.0,2013
Vacaville city, California,81554,Male,582.0,1412.0,2845.0,3957.0,1921.0,554.0,2467.0,436.0,832.0,2479.0,2235.0,1582.0,2013
Vallejo city, California,81666,Male,331.0,2192.0,2639.0,3462.0,2578.0,925.0,3109.0,917.0,1086.0,3059.0,3258.0,1082.0,2013
Victorville city, California,82590,Male,331.0,767.0,2823.0,2238.0,2125.0,1218.0,607.0,0.0,661.0,2918.0,3591.0,2749.0,2013
Visalia city, California,82954,Male,1325.0,3991.0,7354.0,6253.0,2569.0,189.0,1843.0,102.0,495.0,1832.0,294.0,422.0,2013
Vista city, California,82996,Male,43.0,573.0,4700.0,7790.0,3807.0,1651.0,1430.0,565.0,650.0,1773.0,846.0,357.0,2013
Walnut Creek city, California,83346,Male,152.0,1907.0,1568.0,1434.0,1492.0,349.0,1340.0,608.0,882.0,1718.0,1798.0,562.0,2013
West Covina city, California,84200,Male,160.0,1031.0,1510.0,3661.0,2708.0,1730.0,3896.0,313.0,1715.0,2987.0,4060.0,1150.0,2013
Westminster city, California,84550,Male,42.0,816.0,2115.0,3068.0,2815.0,722.0,4566.0,337.0,643.0,1842.0,1017.0,694.0,2013
Whittier city, California,85292,Male,128.0,865.0,1477.0,2688.0,2606.0,1628.0,3883.0,802.0,1390.0,2325.0,2299.0,743.0,2013
Yorba Linda city, California,86832,Male,251.0,1169.0,1120.0,2238.0,1494.0,1046.0,3848.0,484.0,722.0,1681.0,1260.0,526.0,2013
Yuba City city, California,86972,Male,206.0,2059.0,2357.0,1390.0,634.0,394.0,583.0,591.0,786.0,1809.0,2728.0,162.0,2013
Arvada city, Colorado,03455,Male,375.0,1233.0,3395.0,3578.0,5804.0,2287.0,4822.0,827.0,1803.0,2838.0,2402.0,457.0,2013
Aurora city, Colorado,04000,Male,1292.0,2595.0,6615.0,8768.0,15205.0,8138.0,18560.0,3553.0,5272.0,8134.0,4295.0,1977.0,2013
Boulder city, Colorado,07850,Male,1729.0,3850.0,5871.0,5836.0,3851.0,1069.0,1712.0,478.0,454.0,727.0,532.0,631.0,2013
Centennial city, Colorado,12815,Male,722.0,1700.0,3017.0,5596.0,3084.0,1312.0,3960.0,979.0,1387.0,2999.0,1117.0,777.0,2013
Colorado Springs city, Colorado,16000,Male,1597.0,9259.0,16912.0,24587.0,22446.0,7630.0,12078.0,1739.0,2035.0,3034.0,3514.0,2194.0,2013
Denver city, Colorado,20000,Male,2536.0,13487.0,20094.0,28094.0,28323.0,11153.0,29100.0,4416.0,7382.0,13555.0,9052.0,3697.0,2013
Fort Collins city, Colorado,27425,Male,1225.0,4195.0,11324.0,7831.0,5504.0,2270.0,2429.0,892.0,678.0,1790.0,1154.0,334.0,2013
Greeley city, Colorado,32155,Male,878.0,3521.0,4463.0,3726.0,2202.0,696.0,1565.0,635.0,605.0,1749.0,1638.0,804.0,2013
Highlands Ranch CDP, Colorado,36410,Male,456.0,1643.0,2597.0,3647.0,4391.0,1652.0,4597.0,755.0,1360.0,2786.0,1331.0,676.0,2013
Lakewood city, Colorado,43000,Male,737.0,3971.0,4264.0,6053.0,6796.0,2075.0,5587.0,540.0,2089.0,2858.0,1686.0,689.0,2013
Longmont city, Colorado,45970,Male,203.0,2813.0,3371.0,3953.0,3333.0,1436.0,2169.0,1191.0,848.0,1594.0,1784.0,506.0,2013
Loveland city, Colorado,46465,Male,916.0,2125.0,2624.0,2032.0,4074.0,984.0,1561.0,381.0,802.0,1026.0,1315.0,199.0,2013
Pueblo city, Colorado,62000,Male,1204.0,3107.0,4424.0,5384.0,1968.0,221.0,594.0,63.0,588.0,1487.0,997.0,145.0,2013
Thornton city, Colorado,77290,Male,66.0,716.0,2892.0,2788.0,5035.0,3825.0,8333.0,1786.0,1872.0,3231.0,1361.0,596.0,2013
Westminster city, Colorado,83835,Male,605.0,1359.0,2820.0,4260.0,5479.0,2584.0,5313.0,1240.0,811.0,2536.0,1152.0,784.0,2013
Bridgeport city, Connecticut,08000,Male,787.0,2445.0,4460.0,5537.0,4459.0,833.0,6575.0,877.0,780.0,2628.0,2015.0,1462.0,2013
Danbury city, Connecticut,18430,Male,535.0,1809.0,3955.0,5043.0,1508.0,1051.0,1863.0,252.0,387.0,2064.0,2100.0,918.0,2013
Hartford city, Connecticut,37000,Male,368.0,1838.0,3926.0,4841.0,3666.0,1335.0,1583.0,141.0,537.0,1415.0,1306.0,142.0,2013
